Gene,KP1766,KP1768,NJST258_1,NR5632,SRR7345603
aac(3)-IIe,1,1,0,1,0
aac(6')-33,1,1,0,1,0
aac(6')-Ib',0,0,1,0,0
aac(6')-Ib-cr5,1,1,0,1,0
aadA1,0,0,1,0,0
ant(2'')-Ia,1,1,0,1,0
aph(3'')-Ib,0,0,1,0,1
aph(6)-Id,0,0,1,0,1
blaCTX-M-15,1,1,0,1,1
blaKPC-2,1,1,0,0,0
blaKPC-3,0,0,1,0,0
blaKPC-33,0,0,0,1,0
blaOXA-1,1,1,0,1,0
blaOXA-9,0,0,1,0,0
blaSHV-28,1,1,0,1,1
blaTEM,0,0,1,0,0
blaTEM-1,1,1,1,1,1
catB3,1,1,0,1,0
dfrA14,1,1,1,1,1
fosA,1,1,1,1,1
gyrA_D87G,0,0,1,0,0
gyrA_S83I,1,1,1,1,1
mdrA_D354A,1,0,0,0,0
nfsB_Q137Ter,1,1,0,1,0
ompK35_E42RfsTer47,0,0,1,0,0
ompK35_Q350Ter,1,0,0,0,0
ompK36_D135DD,1,1,0,1,0
oqxA,0,0,1,0,1
oqxB,0,0,1,0,0
oqxB19,0,0,0,0,1
parC_S80I,1,1,1,1,1
phoQ_L96P,0,0,1,0,0
qacEdelta1,1,1,0,1,0
qnrB1,1,1,0,1,1
ramR_L111RfsTer13,0,0,1,0,0
sul1,1,1,0,1,0
sul2,1,1,1,1,1
tet(A),1,1,0,1,0
