Input_file_name	Gene_symbol	Mutation	Genetic_variation_type	Drug_class	Input_sequence_ID	Input_gene_length	Input_gene_start	Input_gene_stop	Reference_gene_length	Reference_gene_start	Reference_gene_stop	Sequence_identity	Coverage	Reference_accession	Strand_orientation	Software_name	Software_version	Reference_database_name	Reference_database_version	Input_protein_length	Reference_protein_length	Input_protein_start	Input_protein_stop	Antimicrobial_agent	Coverage_depth	Coverage_ratio	Predicted_phenotype	predicted_phenotype_confidence_level	Reference_protein_start	Reference_protein_stop	Resistance_mechanism
contigs	strB.v1	-	Gene presence detected	aminoglycoside antibiotic	NODE_24_length_65173_cov_32.059358	65173	4994	5831	837	0	837	100.00%	100.00%	ARO:0000016	+	Kleborate	3.2.4	CARD	3.2.9	-	-	-	-	-	-	-	-	-	-	-	-
contigs	strA.v1	-	Gene presence detected	aminoglycoside antibiotic	NODE_24_length_65173_cov_32.059358	65173	4191	4995	804	0	804	99.88%	100.00%	ARO:0000016	+	Kleborate	3.2.4	CARD	3.2.9	-	-	-	-	-	-	-	-	-	-	-	-
contigs	qnrB1.v2	-	Gene presence detected	Fluoroquinolone antibiotic	NODE_37_length_6249_cov_36.644038	6249	823	1503	681	0	681	99.85%	100.00%	ARO:0000001	-	Kleborate	3.2.4	CARD	3.2.9	-	-	-	-	-	-	-	-	-	-	-	-
contigs	sul2	-	Gene presence detected	sulfonamide antibiotic	NODE_24_length_65173_cov_32.059358	65173	3315	4131	816	0	816	100.00%	100.00%	ARO:3000282	+	Kleborate	3.2.4	CARD	3.2.9	-	-	-	-	-	-	-	-	-	-	-	-
contigs	dfrA14.v2	-	Gene presence detected	Diaminopyrimidine antibiotic	NODE_36_length_6881_cov_38.264844	6881	1719	2202	483	0	483	99.79%	100.00%	ARO:3000171	+	Kleborate	3.2.4	CARD	3.2.9	-	-	-	-	-	-	-	-	-	-	-	-
contigs	CTX-M-15	-	Gene presence detected	third-generation cephalosporin	NODE_8_length_247626_cov_30.033379	247626	3298	4174	876	0	876	100.00%	100.00%	ARO:3009107	-	Kleborate	3.2.4	CARD	3.2.9	-	-	-	-	-	-	-	-	-	-	-	-
contigs	SHV-28	-	Gene presence detected	penicillin beta-lactam	NODE_1_length_981778_cov_21.393646	981778	351216	352077	861	0	861	99.88%	100.00%	ARO:3000008	-	Kleborate	3.2.4	CARD	3.2.9	-	-	-	-	-	-	-	-	-	-	-	-
contigs	GyrA	p.Ser83Ile	Protein variant detected	fluoroquinolone antibiotic	NODE_11_length_178015_cov_24.773050	178015	5295	5655	360	0	360	99.44%	100.00%	ARO:0000001	+	Kleborate	3.2.4	CARD	3.2.9	-	-	-	-	-	-	-	-	-	-	-	-
contigs	ParC	p.Ser80Ile	Protein variant detected	fluoroquinolone antibiotic	NODE_4_length_307639_cov_29.894402	307639	73455	73815	360	0	360	99.44%	100.00%	ARO:0000001	-	Kleborate	3.2.4	CARD	3.2.9	-	-	-	-	-	-	-	-	-	-	-	-
