Sample,ST,contigs,bases,CDS,rRNA,tRNA,tmRNA
KP1766,307,3,5751187,5405,25,87,1
KP1768,307,3,5745430,5398,25,87,1
NJST258_1,258,6,5540936,5229,25,77,1
NR5632,307,3,5741903,5398,25,86,1
SRR7345603,307,139,5296923,4877,19,89,1
