Gene,Non-unique Gene name,Annotation,KP1766,KP1768,NJST258_1,NR5632,SRR7345603
fabF_1,fabF_1,3-oxoacyl-[acyl-carrier-protein] synthase 2,MFCJNMFM_02567,JIEPOILB_02693,MHMAIFBA_02513,KGLDIDPM_02569,CFOCILDN_00507
elfC,elfC,putative outer membrane usher protein ElfC,MFCJNMFM_04505,JIEPOILB_04509,MHMAIFBA_04696,KGLDIDPM_04509,CFOCILDN_03041
fimC_2,fimC_2,Chaperone protein FimC,MFCJNMFM_04506,JIEPOILB_04510,MHMAIFBA_04695,KGLDIDPM_04510,CFOCILDN_03040
group_2040,,hypothetical protein,MFCJNMFM_02945,JIEPOILB_02315,MHMAIFBA_02846,KGLDIDPM_02947,CFOCILDN_00129
group_2037,,hypothetical protein,MFCJNMFM_04507,JIEPOILB_04511,MHMAIFBA_04694,KGLDIDPM_04511,CFOCILDN_03039
group_2036,,putative protein;Oxaloacetate decarboxylase;hypothetical protein,MFCJNMFM_00166,JIEPOILB_00166,MHMAIFBA_00118,KGLDIDPM_00165,CFOCILDN_04331
rfbP,rfbP,Undecaprenyl-phosphate galactose phosphotransferase,MFCJNMFM_01782,JIEPOILB_01781,MHMAIFBA_01747,KGLDIDPM_01778,CFOCILDN_03352
group_2034,,hypothetical protein,MFCJNMFM_02568,JIEPOILB_02692,MHMAIFBA_02516,KGLDIDPM_02570,CFOCILDN_00506
group_2032,,Putative tyrosine-protein kinase in cps region,MFCJNMFM_01781,JIEPOILB_01780,MHMAIFBA_01746,KGLDIDPM_01777,CFOCILDN_03351
group_2031,,hypothetical protein,MFCJNMFM_02561,JIEPOILB_02699,MHMAIFBA_02500,KGLDIDPM_02563,CFOCILDN_00513
asd_2,asd_2,Aspartate-semialdehyde dehydrogenase,MFCJNMFM_02569,JIEPOILB_02691,MHMAIFBA_02517,KGLDIDPM_02571,CFOCILDN_00505
group_2027,,hypothetical protein,MFCJNMFM_02940,JIEPOILB_02320,MHMAIFBA_02847;MHMAIFBA_02851,KGLDIDPM_02942,CFOCILDN_00134
wza,wza,Putative polysaccharide export protein Wza,MFCJNMFM_01780,JIEPOILB_01779,MHMAIFBA_01745,KGLDIDPM_01776,CFOCILDN_03350
group_2026,,hypothetical protein,MFCJNMFM_02566,JIEPOILB_02694,MHMAIFBA_02509,KGLDIDPM_02568,CFOCILDN_00508
group_2025,,hypothetical protein,MFCJNMFM_02946,JIEPOILB_02314,MHMAIFBA_02852,KGLDIDPM_02948,CFOCILDN_00128
group_2024,,hypothetical protein,MFCJNMFM_02573,JIEPOILB_02687,MHMAIFBA_02521,KGLDIDPM_02575,CFOCILDN_00501
group_2022,,hypothetical protein,MFCJNMFM_02615,JIEPOILB_02645,MHMAIFBA_02548,KGLDIDPM_02617,CFOCILDN_00459
nimR_2,nimR_2,HTH-type transcriptional regulator NimR,MFCJNMFM_02560,JIEPOILB_02700,MHMAIFBA_02499,KGLDIDPM_02562,CFOCILDN_00514
can_2,can_2,Carbonic anhydrase 2,MFCJNMFM_04657,JIEPOILB_04661,MHMAIFBA_04547,KGLDIDPM_04661,CFOCILDN_02892
group_2021,,hypothetical protein,MFCJNMFM_02694;MFCJNMFM_02695,JIEPOILB_02565;JIEPOILB_02566,MHMAIFBA_02628,KGLDIDPM_02696;KGLDIDPM_02697,CFOCILDN_00379;CFOCILDN_00378
group_2020,,hypothetical protein,MFCJNMFM_04482,JIEPOILB_04486,MHMAIFBA_04519,KGLDIDPM_04486,CFOCILDN_04905
mutS_2~~~mutS_1~~~mutS,mutS_2;mutS_1;mutS,DNA mismatch repair protein MutS,MFCJNMFM_01085,JIEPOILB_01085,MHMAIFBA_01083;MHMAIFBA_01084,KGLDIDPM_01084,CFOCILDN_01362
group_2017,,hypothetical protein,MFCJNMFM_02936,JIEPOILB_02324,MHMAIFBA_02842,KGLDIDPM_02938,CFOCILDN_00138
oadA_2~~~oadA,oadA_2;oadA,Oxaloacetate decarboxylase alpha chain,MFCJNMFM_04298,JIEPOILB_04302,MHMAIFBA_04349,KGLDIDPM_04302,CFOCILDN_01099
vgrG1~~~vgrG2b_5,vgrG1;vgrG2b_5,Actin cross-linking toxin VgrG1;Type VI secretion system spike protein VgrG2b,MFCJNMFM_02082,JIEPOILB_03179,MHMAIFBA_02017,KGLDIDPM_02085,CFOCILDN_02383
pdeG,;pdeG,hypothetical protein;putative cyclic di-GMP phosphodiesterase PdeG,MFCJNMFM_03273,JIEPOILB_01987,MHMAIFBA_03240;MHMAIFBA_03239,KGLDIDPM_03277,CFOCILDN_03476
feoB,feoB,Fe(2+) transporter FeoB,MFCJNMFM_00381,JIEPOILB_00381,MHMAIFBA_00332,KGLDIDPM_00380,CFOCILDN_04475
