locus_tag	ftype	length_bp	gene	EC_number	COG	product
KGLDIDPM_00001	CDS	1404	dnaA_1	3.6.4.-	COG0593	Chromosomal replication initiator protein DnaA
KGLDIDPM_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
KGLDIDPM_00003	CDS	1074	recF_1		COG1195	DNA replication and repair protein RecF
KGLDIDPM_00004	CDS	2415	gyrB			DNA topoisomerase (ATP-hydrolyzing) subunit B GyrB
KGLDIDPM_00005	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
KGLDIDPM_00006	CDS	1062				hypothetical protein
KGLDIDPM_00007	CDS	1134				hypothetical protein
KGLDIDPM_00008	CDS	690	dgoR_1		COG2186	Galactonate operon transcriptional repressor
KGLDIDPM_00009	CDS	879	dgoK_1	2.7.1.58	COG3734	2-dehydro-3-deoxygalactonokinase
KGLDIDPM_00010	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
KGLDIDPM_00011	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
KGLDIDPM_00012	CDS	1293	dgoT_1		COG2271	D-galactonate transporter
KGLDIDPM_00013	CDS	1227				hypothetical protein
KGLDIDPM_00014	CDS	333				hypothetical protein
KGLDIDPM_00015	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
KGLDIDPM_00016	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
KGLDIDPM_00017	CDS	561				hypothetical protein
KGLDIDPM_00018	CDS	1662	aspT_1			Aspartate/alanine antiporter
KGLDIDPM_00019	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
KGLDIDPM_00020	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
KGLDIDPM_00021	CDS	1323	aglB	3.2.1.122		6-phospho-alpha-glucosidase
KGLDIDPM_00022	CDS	348	yidH		COG2149	Inner membrane protein YidH
KGLDIDPM_00023	CDS	363	yidG			Inner membrane protein YidG
KGLDIDPM_00024	CDS	501				hypothetical protein
KGLDIDPM_00025	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
KGLDIDPM_00026	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
KGLDIDPM_00027	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
KGLDIDPM_00028	CDS	1185	emrD		COG2814	Multidrug resistance protein D
KGLDIDPM_00029	CDS	834				hypothetical protein
KGLDIDPM_00030	CDS	447				hypothetical protein
KGLDIDPM_00031	CDS	90				hypothetical protein
KGLDIDPM_00032	CDS	96				hypothetical protein
KGLDIDPM_00033	CDS	1689	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
