locus_tag	ftype	length_bp	gene	EC_number	COG	product
CFOCILDN_00001	CDS	747	phoC	3.1.3.2		Major phosphate-irrepressible acid phosphatase
CFOCILDN_00002	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
CFOCILDN_00003	CDS	1947	topB	5.6.2.1	COG0550	DNA topoisomerase 3
CFOCILDN_00004	CDS	981	ppsC	2.3.1.292		Phenolphthiocerol/phthiocerol polyketide synthase subunit C
CFOCILDN_00005	CDS	1344	gdhA_1	1.4.1.4	COG0334	NADP-specific glutamate dehydrogenase
CFOCILDN_00006	CDS	411	nudG	3.6.1.65	COG0494	CTP pyrophosphohydrolase
CFOCILDN_00007	CDS	624	ynjF		COG0558	Inner membrane protein YnjF
CFOCILDN_00008	CDS	1308	ynjE	2.8.1.1	COG2897	Thiosulfate sulfurtransferase YnjE
CFOCILDN_00009	CDS	633	fbpC2	7.2.2.7	COG3842	Fe(3+) ions import ATP-binding protein FbpC 2
CFOCILDN_00010	CDS	1536	ynjC		COG4135	Inner membrane ABC transporter permease protein YnjC
CFOCILDN_00011	CDS	1179	ynjB		COG4134	Protein YnjB
CFOCILDN_00012	CDS	561				hypothetical protein
CFOCILDN_00013	CDS	711	ydjZ		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
CFOCILDN_00014	CDS	657				hypothetical protein
CFOCILDN_00015	CDS	807	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
CFOCILDN_00016	CDS	1221	astC_1	2.6.1.81	COG4992	Succinylornithine transaminase
CFOCILDN_00017	CDS	1035	astA_1	2.3.1.109	COG3138	Arginine N-succinyltransferase
CFOCILDN_00018	CDS	1479	astD_1	1.2.1.71	COG1012	N-succinylglutamate 5-semialdehyde dehydrogenase
CFOCILDN_00019	CDS	1326	astB_1	3.5.3.23	COG3724	N-succinylarginine dihydrolase
CFOCILDN_00020	CDS	966	astE_1	3.5.1.96	COG2988	Succinylglutamate desuccinylase
CFOCILDN_00021	CDS	483	spy		COG3678	Periplasmic chaperone Spy
CFOCILDN_00022	CDS	864	cho	3.1.25.-	COG0322	Excinuclease cho
CFOCILDN_00023	CDS	828	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
CFOCILDN_00024	CDS	339	osmE		COG2913	Osmotically-inducible putative lipoprotein OsmE
CFOCILDN_00025	CDS	321	chbB	2.7.1.196	COG1440	PTS system N,N'-diacetylchitobiose-specific EIIB component
CFOCILDN_00026	CDS	1359	chbC		COG1455	PTS system N,N'-diacetylchitobiose-specific EIIC component
CFOCILDN_00027	CDS	348	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
CFOCILDN_00028	CDS	825	chbR		COG1917	HTH-type transcriptional regulator ChbR
CFOCILDN_00029	CDS	1347	chbF	3.2.1.86	COG1486	6-phospho-beta-glucosidase
CFOCILDN_00030	CDS	759	chbG	3.5.1.105		Chitooligosaccharide deacetylase
CFOCILDN_00031	CDS	2259	katE	1.11.1.6	COG0753	Catalase HPII
CFOCILDN_00032	CDS	333	cedA			Cell division activator CedA
CFOCILDN_00033	CDS	1392	tcyP		COG1823	L-cystine transporter TcyP
CFOCILDN_00034	CDS	591	ydjM		COG1988	Inner membrane protein YdjM
CFOCILDN_00035	CDS	762	kduD_1	1.1.1.127	COG1028	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
CFOCILDN_00036	CDS	669	hxpB_1	3.1.3.68	COG0637	Hexitol phosphatase B
CFOCILDN_00037	CDS	537				hypothetical protein
CFOCILDN_00038	CDS	366		3.1.2.-	COG1607	putative acyl-CoA thioester hydrolase
CFOCILDN_00039	CDS	2184	iroN			siderophore salmochelin receptor IroN
CFOCILDN_00040	CDS	540	yciB		COG2917	Inner membrane-spanning protein YciB
CFOCILDN_00041	CDS	744				hypothetical protein
CFOCILDN_00042	CDS	414				hypothetical protein
CFOCILDN_00043	CDS	639	ompW		COG3047	Outer membrane protein W
CFOCILDN_00044	CDS	678		1.14.11.-		PKHD-type hydroxylase
CFOCILDN_00045	CDS	2286	fiu		COG4774	Catecholate siderophore receptor Fiu
CFOCILDN_00046	CDS	708				hypothetical protein
CFOCILDN_00047	CDS	201				hypothetical protein
CFOCILDN_00048	CDS	948				hypothetical protein
CFOCILDN_00049	CDS	483				hypothetical protein
CFOCILDN_00050	CDS	810	trpA	4.2.1.20		Tryptophan synthase alpha chain
CFOCILDN_00051	CDS	1194	trpB	4.2.1.20	COG0133	Tryptophan synthase beta chain
CFOCILDN_00052	CDS	1359	trpC		COG0134	Tryptophan biosynthesis protein TrpCF
CFOCILDN_00053	CDS	1596	trpGD		COG0512	Bifunctional protein TrpGD
CFOCILDN_00054	CDS	1563	trpE	4.1.3.27		Anthranilate synthase component 1
CFOCILDN_00055	CDS	864	rnm	3.1.13.-	COG0613	5'-3' exoribonuclease Rnm
CFOCILDN_00056	CDS	621	yciO		COG0009	putative protein YciO
CFOCILDN_00057	CDS	909				IS1595 family transposase ISBsp7
CFOCILDN_00058	CDS	897	gcvA_1		COG0583	Glycine cleavage system transcriptional activator
CFOCILDN_00059	CDS	903	rluB	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
CFOCILDN_00060	CDS	591	btuR	2.5.1.17		Corrinoid adenosyltransferase CobA
CFOCILDN_00061	CDS	801	yciK	1.-.-.-	COG1028	putative oxidoreductase YciK
CFOCILDN_00062	CDS	1083	sohB	3.4.21.-	COG0616	putative protease SohB
CFOCILDN_00063	CDS	252	yciN			Protein YciN
CFOCILDN_00064	CDS	2598	topA_1	5.6.2.1	COG0550	DNA topoisomerase 1
CFOCILDN_00065	CDS	975	cysB			HTH-type transcriptional regulator CysB
CFOCILDN_00066	CDS	168				hypothetical protein
CFOCILDN_00067	CDS	2673	acnA	4.2.1.3	COG1048	Aconitate hydratase A
CFOCILDN_00068	CDS	603	ribA	3.5.4.25	COG0807	GTP cyclohydrolase-2
CFOCILDN_00069	CDS	768	pgpB	3.1.3.27	COG0671	Phosphatidylglycerophosphatase B
CFOCILDN_00070	CDS	309	lapA		COG3771	Lipopolysaccharide assembly protein A
CFOCILDN_00071	CDS	1170	lapB		COG2956	Lipopolysaccharide assembly protein B
CFOCILDN_00072	CDS	738	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
CFOCILDN_00073	CDS	327	yciH		COG0023	putative protein YciH
