locus_tag	ftype	length_bp	gene	EC_number	COG	product
MHMAIFBA_00001	CDS	1404	dnaA	3.6.4.-	COG0593	Chromosomal replication initiator protein DnaA
MHMAIFBA_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
MHMAIFBA_00003	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
MHMAIFBA_00004	CDS	2415	gyrB			DNA topoisomerase (ATP-hydrolyzing) subunit B GyrB
MHMAIFBA_00005	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
MHMAIFBA_00006	CDS	1062				hypothetical protein
MHMAIFBA_00007	CDS	1134				hypothetical protein
MHMAIFBA_00008	CDS	690	dgoR_1		COG2186	Galactonate operon transcriptional repressor
MHMAIFBA_00009	CDS	879	dgoK_1	2.7.1.58	COG3734	2-dehydro-3-deoxygalactonokinase
MHMAIFBA_00010	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
MHMAIFBA_00011	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
MHMAIFBA_00012	CDS	1293	dgoT_1		COG2271	D-galactonate transporter
MHMAIFBA_00013	CDS	1221				hypothetical protein
MHMAIFBA_00014	CDS	333				hypothetical protein
MHMAIFBA_00015	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
MHMAIFBA_00016	CDS	429	ibpB		COG0071	Small heat shock protein IbpB
MHMAIFBA_00017	CDS	825				hypothetical protein
MHMAIFBA_00018	CDS	1662	aspT_1			Aspartate/alanine antiporter
MHMAIFBA_00019	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
MHMAIFBA_00020	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
MHMAIFBA_00021	CDS	1323	aglB	3.2.1.122		6-phospho-alpha-glucosidase
MHMAIFBA_00022	CDS	348	yidH		COG2149	Inner membrane protein YidH
MHMAIFBA_00023	CDS	363	yidG			Inner membrane protein YidG
MHMAIFBA_00024	CDS	501				hypothetical protein
MHMAIFBA_00025	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
MHMAIFBA_00026	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
MHMAIFBA_00027	CDS	924	dsdC_1		COG0583	HTH-type transcriptional regulator DsdC
MHMAIFBA_00028	CDS	1185	emrD		COG2814	Multidrug resistance protein D
MHMAIFBA_00029	CDS	834				hypothetical protein
MHMAIFBA_00030	CDS	447				hypothetical protein
MHMAIFBA_00031	CDS	90				hypothetical protein
MHMAIFBA_00032	CDS	96				hypothetical protein
MHMAIFBA_00033	CDS	1689	ilvB_1	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
MHMAIFBA_00034	CDS	288	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
MHMAIFBA_00035	CDS	594	uhpA		COG2197	Transcriptional regulatory protein UhpA
MHMAIFBA_00036	CDS	1503	uhpB	2.7.13.3	COG3851	Signal transduction histidine-protein kinase/phosphatase UhpB
MHMAIFBA_00037	CDS	1329	uhpC		COG2271	Membrane sensor protein UhpC
MHMAIFBA_00038	CDS	1392	uhpT			hexose phosphate transporter UhpT
MHMAIFBA_00039	CDS	453				hypothetical protein
MHMAIFBA_00040	CDS	324				hypothetical protein
MHMAIFBA_00041	CDS	360				hypothetical protein
MHMAIFBA_00042	CDS	1194	nepI_1		COG2814	Purine ribonucleoside efflux pump NepI
MHMAIFBA_00043	CDS	810	phnX	3.11.1.1		Phosphonoacetaldehyde hydrolase
MHMAIFBA_00044	CDS	1104	phnW	2.6.1.37		2-aminoethylphosphonate--pyruvate transaminase
MHMAIFBA_00045	CDS	720	phnR			Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
MHMAIFBA_00046	CDS	1014	phnS			Putative 2-aminoethylphosphonate-binding periplasmic protein
MHMAIFBA_00047	CDS	1113	phnT			Putative 2-aminoethylphosphonate import ATP-binding protein PhnT
MHMAIFBA_00048	CDS	861	phnU			Putative 2-aminoethylphosphonate transport system permease protein PhnU
MHMAIFBA_00049	CDS	378	phnV_1			Putative 2-aminoethylphosphonate transport system permease protein PhnV
MHMAIFBA_00050	CDS	408	phnV_2			Putative 2-aminoethylphosphonate transport system permease protein PhnV
MHMAIFBA_00051	CDS	1380	lamB_1			Maltoporin
MHMAIFBA_00052	CDS	303	chbA_1		COG1447	PTS system N,N'-diacetylchitobiose-specific EIIA component
MHMAIFBA_00053	CDS	1323	licC_1		COG1455	Lichenan permease IIC component
MHMAIFBA_00054	CDS	315	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
MHMAIFBA_00055	CDS	945			COG1609	HTH-type transcriptional regulator
MHMAIFBA_00056	CDS	1371	pcaK_1		COG2814	4-hydroxybenzoate transporter PcaK
MHMAIFBA_00057	CDS	1263	galA	1.13.11.57	COG3384	Gallate dioxygenase
MHMAIFBA_00058	CDS	1227	hdfR_1			HTH-type transcriptional regulator HdfR
MHMAIFBA_00059	CDS	741	galB	4.2.1.83	COG2120	4-oxalmesaconate hydratase
MHMAIFBA_00060	CDS	714	galC	4.1.3.17	COG0684	4-carboxy-4-hydroxy-2-oxoadipic acid aldolase
