locus_tag	ftype	length_bp	gene	EC_number	COG	product
MFCJNMFM_00001	CDS	1404	dnaA_1	3.6.4.-	COG0593	Chromosomal replication initiator protein DnaA
MFCJNMFM_00002	CDS	1101	dnaN		COG0592	Beta sliding clamp
MFCJNMFM_00003	CDS	1074	recF_1		COG1195	DNA replication and repair protein RecF
MFCJNMFM_00004	CDS	2415	gyrB			DNA topoisomerase (ATP-hydrolyzing) subunit B GyrB
MFCJNMFM_00005	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
MFCJNMFM_00006	CDS	1062				hypothetical protein
MFCJNMFM_00007	CDS	1134				hypothetical protein
MFCJNMFM_00008	CDS	690	dgoR_1		COG2186	Galactonate operon transcriptional repressor
MFCJNMFM_00009	CDS	879	dgoK_1	2.7.1.58	COG3734	2-dehydro-3-deoxygalactonokinase
MFCJNMFM_00010	CDS	618	dgoA_1	4.1.2.21	COG0800	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
MFCJNMFM_00011	CDS	1149	dgoD	4.2.1.6	COG4948	D-galactonate dehydratase
MFCJNMFM_00012	CDS	1293	dgoT_1		COG2271	D-galactonate transporter
MFCJNMFM_00013	CDS	1227				hypothetical protein
MFCJNMFM_00014	CDS	333				hypothetical protein
MFCJNMFM_00015	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
MFCJNMFM_00016	CDS	429	ibpB_1		COG0071	Small heat shock protein IbpB
MFCJNMFM_00017	CDS	561				hypothetical protein
MFCJNMFM_00018	CDS	1662	aspT_1			Aspartate/alanine antiporter
MFCJNMFM_00019	CDS	723	mngR_1		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
MFCJNMFM_00020	CDS	1623	malP_1		COG1263	PTS system maltose-specific EIICB component
MFCJNMFM_00021	CDS	1323	aglB	3.2.1.122		6-phospho-alpha-glucosidase
MFCJNMFM_00022	CDS	348	yidH		COG2149	Inner membrane protein YidH
MFCJNMFM_00023	CDS	363	yidG			Inner membrane protein YidG
MFCJNMFM_00024	CDS	501				hypothetical protein
MFCJNMFM_00025	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
MFCJNMFM_00026	CDS	1338	dsdX		COG2610	D-serine transporter DsdX
