# Annotated with Bakta
# Software: v1.12.1
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	251	997	-	BBGPBF_00001	293.0	4.4e-98	0.992	0.851	0.606	UniRef:UniRef50_P28581
contig_1	cds	1223	2266	+	BBGPBF_00002	573.0	5.6e-205	1.228	0.998	0.714	UniRef:UniRef50_P16456
contig_1	cds	2271	4217	+	BBGPBF_00003	701.0	7.6e-246	0.992	0.886	0.571	UniRef:UniRef50_P14294
contig_1	cds	4397	5377	+	BBGPBF_00004	432.0	1.0e-150	1.0	0.881	0.635	UniRef:UniRef50_A0A333WEF5
contig_1	cds	5421	6764	-	BBGPBF_00005	640.0	8.7e-229	0.987	0.886	0.739	UniRef:UniRef50_A0A2X2V504
contig_1	cds	6947	7357	-	BBGPBF_00006	173.0	1.6e-54	0.956	0.807	0.677	UniRef:UniRef50_P77788
contig_1	cds	7444	8067	+	BBGPBF_00007	221.0	1.1e-71	0.913	0.863	0.603	UniRef:UniRef50_A0A135I8P9
contig_1	cds	8119	9426	-	BBGPBF_00008	721.0	1.8e-260	0.998	0.824	0.800	UniRef:UniRef50_P78067
contig_1	cds	9520	10152	-	BBGPBF_00009	354.0	1.2e-124	1.0	1.141	0.871	UniRef:UniRef50_A0A377ZV60
contig_1	cds	10152	11687	-	BBGPBF_00010	948.0	0.0	1.125	1.0	0.880	UniRef:UniRef50_P76224
contig_1	cds	11660	12838	-	BBGPBF_00011	468.0	3.4e-163	0.990	0.980	0.613	UniRef:UniRef50_A0A0F1B1K9
contig_1	cds	12841	13401	-	BBGPBF_00012	274.0	3.9e-93	1.048	0.980	0.703	UniRef:UniRef50_P76222
contig_1	cds	13398	14108	-	BBGPBF_00013	223.0	1.7e-71	0.928	0.869	0.548	UniRef:UniRef50_A0A128EAB6
contig_1	cds	14095	14751	-	BBGPBF_00014	384.0	5.5e-136	0.931	0.967	1.0	UniRef:UniRef50_G9Y9F1
contig_1	cds	14965	15771	-	BBGPBF_00015	385.0	4.6e-134	0.993	0.861	0.673	UniRef:UniRef50_A0A0X9VYA6
contig_1	cds	16210	17430	+	BBGPBF_00016	575.0	5.2e-204	0.998	0.854	0.699	UniRef:UniRef50_Q8D0D7
contig_1	cds	17427	18461	+	BBGPBF_00017	547.0	1.7e-195	1.119	1.0	0.712	UniRef:UniRef50_P0AE37
contig_1	cds	18458	19936	+	BBGPBF_00018	632.0	1.3e-223	1.179	1.002	0.597	UniRef:UniRef50_P76217
contig_1	cds	19933	21258	+	BBGPBF_00019	693.0	2.1e-251	0.810	0.906	0.992	UniRef:UniRef50_A0A377XRR4
contig_1	cds	21268	22233	+	BBGPBF_00020	476.0	1.4e-168	0.994	0.994	0.727	UniRef:UniRef50_A0A0H3CN57
contig_1	cds	22580	23062	+	BBGPBF_00021	229.0	5.8e-76	0.994	0.807	0.818	UniRef:UniRef50_P77754
contig_1	cds	23150	24013	-	BBGPBF_00022	436.0	2.2e-153	0.986	0.840	0.739	UniRef:UniRef50_P76213
contig_1	cds	24114	24941	-	BBGPBF_00023	498.0	5.3e-178	1.0	0.823	0.898	UniRef:UniRef50_P18843
contig_1	cds	25224	25562	+	BBGPBF_00024	213.0	4.9e-71	0.964	0.818	0.972	UniRef:UniRef50_P0ADB1
contig_1	cds	25841	26161	+	BBGPBF_00025	193.0	5.7e-66	0.991	0.991	0.962	BlastRules:WP_000412169
contig_1	cds	26309	27667	+	BBGPBF_00026	692.0	2.1e-249	1.0	0.928	0.741	UniRef:UniRef50_P17334
contig_1	cds	27721	28068	+	BBGPBF_00027	184.0	7.0e-60	1.0	0.885	0.887	UniRef:UniRef50_A0A0C7KBX5
contig_1	cds	28096	28920	+	BBGPBF_00028	379.0	2.2e-132	0.818	0.961	0.830	UniRef:UniRef50_A0A379SJD0
contig_1	cds	29031	30377	+	BBGPBF_00029	799.0	1.0e-291	0.998	0.945	0.872	UniRef:UniRef50_P17411
