#Annotated with Bakta v1.12.1, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	33577	33909	+	BBGPBF_00032	12.5	9.2	PF10729.15|CedA	PFAM:PF10729.15
contig_1	48381	48581	+	BBGPBF_00047	7.0	7.7		
contig_1	104039	104773	+	BBGPBF_00101	27.5	6.2	PF11975.13|Glyco_hydro_4C	PFAM:PF11975.13
contig_1	118137	118427	+	BBGPBF_00114	10.5	5.1	PF13581.12|HATPase_c_2	PFAM:PF13581.12
contig_1	145357	145614	+	BBGPBF_00137	9.0	8.5	PF05488.18|PAAR_motif	PFAM:PF05488.18
contig_1	145611	146735	+	BBGPBF_00138	40.9	9.6		
contig_1	159071	159277	-	BBGPBF_00149	7.4	9.5	PF07338.18|YdgH_BhsA-like	PFAM:PF07338.18
contig_1	188061	188324	+	BBGPBF_00178	8.5	7.6	PF03891.20|DUF333	PFAM:PF03891.20
contig_1	190070	190570	-	BBGPBF_00181	18.6	11.6	PF09335.16|VTT_dom	PFAM:PF09335.16
contig_1	242631	242789	+	BBGPBF_00225	5.9	10.0		
contig_1	242824	243216	-	BBGPBF_00226	15.2	7.8		
contig_1	245599	246078	+	BBGPBF_00230	18.1	7.0		
contig_1	261174	261488	+	BBGPBF_00243	10.7	6.0		
contig_1	297321	297677	+	BBGPBF_00275	13.9	4.9		SO:0001217, UniRef:UniRef50_A0A0H3GWX3
contig_1	305173	306006	-	BBGPBF_00283	29.7	4.9		
contig_1	313161	313532	+	BBGPBF_00292	13.9	9.9		
contig_1	327804	328145	-	BBGPBF_00306	12.9	8.9		
contig_1	328730	330013	+	BBGPBF_00308	46.1	9.8		
contig_1	339756	339860	-	BBGPBF_00318	3.7	5.6		SO:0001217, UniRef:UniRef50_A0A8B6IMM2
contig_1	352375	352635	+	BBGPBF_00331	9.4	6.0		
contig_1	384971	385453	+	BBGPBF_00363	17.6	5.3	PF13508.13|Acetyltransf_7, PF13673.13|Acetyltransf_10	PFAM:PF13508.13, PFAM:PF13673.13
contig_1	393627	393725	+	BBGPBF_00372	3.7	6.0		SO:0001217, UniRef:UniRef50_A0A0H3FSH2
