# Annotated with Bakta
# Software: v1.12.1
# Database: v6.0, light
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	251	997	-	BBGPBF_00001		Major phosphate-irrepressible acid phosphatase	SO:0001217, UniRef:UniRef50_P28581
contig_1	cds	1223	2266	+	BBGPBF_00002		Selenide, water dikinase	SO:0001217, UniRef:UniRef50_P16456
contig_1	cds	2271	4217	+	BBGPBF_00003		DNA topoisomerase 3	SO:0001217, UniRef:UniRef50_P14294
contig_1	cds	4397	5377	+	BBGPBF_00004		Oxydoreductase protein, zinc-containing (Quinone oxidoreductase, NADPH dependent)	SO:0001217, UniRef:UniRef50_A0A333WEF5
contig_1	cds	5421	6764	-	BBGPBF_00005		Glutamate dehydrogenase	SO:0001217, UniRef:UniRef50_A0A2X2V504
contig_1	cds	6947	7357	-	BBGPBF_00006		CTP pyrophosphohydrolase	SO:0001217, UniRef:UniRef50_P77788
contig_1	cds	7444	8067	+	BBGPBF_00007		CDP-alcohol phosphatidyltransferase	SO:0001217, UniRef:UniRef50_A0A135I8P9
contig_1	cds	8119	9426	-	BBGPBF_00008	ynjE	Thiosulfate sulfurtransferase YnjE	SO:0001217, UniRef:UniRef50_P78067
contig_1	cds	9520	10152	-	BBGPBF_00009		ABC transporter ATP-binding protein	SO:0001217, UniRef:UniRef50_A0A377ZV60
contig_1	cds	10152	11687	-	BBGPBF_00010	ynjC	Inner membrane ABC transporter permease protein YnjC	SO:0001217, UniRef:UniRef50_P76224
contig_1	cds	11660	12838	-	BBGPBF_00011		ABC transporter substrate-binding protein	SO:0001217, UniRef:UniRef50_A0A0F1B1K9
contig_1	cds	12841	13401	-	BBGPBF_00012	ynjA	Uncharacterized protein YnjA	SO:0001217, UniRef:UniRef50_P76222
contig_1	cds	13398	14108	-	BBGPBF_00013		TVP38/TMEM64 family membrane protein	SO:0001217, UniRef:UniRef50_A0A128EAB6
contig_1	cds	14095	14751	-	BBGPBF_00014		TVP38/TMEM64 family membrane protein	SO:0001217, UniRef:UniRef50_G9Y9F1
contig_1	cds	14965	15771	-	BBGPBF_00015		Exodeoxyribonuclease III	SO:0001217, UniRef:UniRef50_A0A0X9VYA6
contig_1	cds	16210	17430	+	BBGPBF_00016		Succinylornithine transaminase	SO:0001217, UniRef:UniRef50_Q8D0D7
contig_1	cds	17427	18461	+	BBGPBF_00017		Arginine N-succinyltransferase	SO:0001217, UniRef:UniRef50_P0AE37
contig_1	cds	18458	19936	+	BBGPBF_00018		N-succinylglutamate 5-semialdehyde dehydrogenase	SO:0001217, UniRef:UniRef50_P76217
contig_1	cds	19933	21258	+	BBGPBF_00019		N-succinylarginine dihydrolase	SO:0001217, UniRef:UniRef50_A0A377XRR4
contig_1	cds	21268	22233	+	BBGPBF_00020		Succinylglutamate desuccinylase	SO:0001217, UniRef:UniRef50_A0A0H3CN57
contig_1	cds	22580	23062	+	BBGPBF_00021		Periplasmic chaperone Spy	SO:0001217, UniRef:UniRef50_P77754
contig_1	cds	23150	24013	-	BBGPBF_00022		Excinuclease cho	SO:0001217, UniRef:UniRef50_P76213
contig_1	cds	24114	24941	-	BBGPBF_00023		NH(3)-dependent NAD(+) synthetase	SO:0001217, UniRef:UniRef50_P18843
contig_1	cds	25224	25562	+	BBGPBF_00024	osmE	Osmotically-inducible putative lipoprotein OsmE	SO:0001217, UniRef:UniRef50_P0ADB1
contig_1	cds	25841	26161	+	BBGPBF_00025	chbB	PTS N,N'-diacetylchitobiose transporter subunit IIB	BlastRules:WP_000412169, EC:2.7.1.196, SO:0001217, UniRef:UniRef50_P69795
contig_1	cds	26309	27667	+	BBGPBF_00026		PTS system N,N'-diacetylchitobiose-specific EIIC component	SO:0001217, UniRef:UniRef50_P17334
contig_1	cds	27721	28068	+	BBGPBF_00027		PTS N N'-diacetylchitobiose transporter subunit IIA	SO:0001217, UniRef:UniRef50_A0A0C7KBX5
contig_1	cds	28096	28920	+	BBGPBF_00028	chbR	Chitobiose-specific regulator ChbR AraCfamily	SO:0001217, UniRef:UniRef50_A0A379SJD0
contig_1	cds	29031	30377	+	BBGPBF_00029		6-phospho-beta-glucosidase	SO:0001217, UniRef:UniRef50_P17411
contig_1	cds	30390	31148	+	BBGPBF_00030	chbG	Chitooligosaccharide deacetylase ChbG	SO:0001217, UniRef:UniRef50_P37794
contig_1	cds	31206	33464	-	BBGPBF_00031		Catalase HPII	SO:0001217, UniRef:UniRef50_P21179
contig_1	cds	33577	33909	+	BBGPBF_00032		hypothetical protein	PFAM:PF10729.15
contig_1	cds	33969	35360	-	BBGPBF_00033	tcyP	L-cystine uptake protein TcyP	SO:0001217, UniRef:UniRef50_A0A1L8I482
